College,Branch,Category,ClosingRank,Percentile,CollegeShort
"Government College of Engineering, Amravati",Civil,LSCS,47557,83.639399,Government College of Engineering
"Government College of Engineering, Amravati",Civil,LSEBCS,112136,55.2318816,Government College of Engineering
"Government College of Engineering, Amravati",Civil,LSTS,89332,66.8505265,Government College of Engineering
"Government College of Engineering, Amravati",Civil,LVJS,54046,81.3738935,Government College of Engineering
"Government College of Engineering, Amravati",Civil,PWDOBCS,153595,27.6622718,Government College of Engineering
"Government College of Engineering, Amravati",Civil,PWDOPENS,115494,53.7694785,Government College of Engineering
"Government College of Engineering, Amravati",Civil,PWDROBC,155782,25.6482713,Government College of Engineering
"Government College of Engineering, Amravati",Civil,TFWS,41891,85.5352459,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,DEFOBCS,63680,77.7634641,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,DEFOPENS,21433,92.8871646,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,DEFROBCS,56268,80.5358903,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,EWS,23715,92.1089443,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,GNT1S,24939,91.6557848,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,GNT2S,22199,92.6335559,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,GNT3S,31829,89.2671256,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,GOBCS,18536,93.8694333,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,GOPENS,17552,94.1713006,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,GSCS,32759,88.9034341,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,GSEBCS,23887,92.0214155,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,GSTS,76500,72.5041736,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,GVJS,33193,88.7742666,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,LNT2S,32583,89.0036224,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,LOBCS,17050,94.3331807,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,LOPENS,15100,95.0167998,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,LSCS,29378,90.0992619,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,LSEBCS,25005,91.6345444,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,LSTS,122393,49.7949643,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,LVJS,50918,82.4751693,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,PWDOBCS,164763,17.776617,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,PWDOPENS,136974,40.1585977,Government College of Engineering
"Government College of Engineering, Amravati",ENTC,TFWS,14636,95.1705464,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,DEFOBCS,164128,18.5574725,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,DEFOPENS,48986,83.032746,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,DEFROBCS,82621,69.800376,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,EWS,49718,82.7820291,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,GNT2S,43440,85.1704164,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,GNT3S,64967,76.933232,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,GOBCS,30164,89.874785,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,GOPENS,28736,90.3847828,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,GSCS,42636,85.3822102,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,GSEBCS,47938,83.5369475,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,GSTS,109844,57.0470967,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,GVJS,40155,86.2190813,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,LNT1S,34017,88.5172385,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,LOBCS,30050,89.8755527,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,LOPENS,25978,91.295495,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,LSCS,50448,82.7086811,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,LSEBCS,61280,78.4507504,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,LSTS,107619,57.414259,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,LVJS,43053,85.2662319,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,ORPHAN,80761,70.5215521,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,PWDOBCS,153875,27.5123271,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,PWDOPENS,126496,47.0113809,Government College of Engineering
"Government College of Engineering, Amravati",Electrical,TFWS,27443,90.8058519,Government College of Engineering
"Government College of Engineering, Amravati",IT,DEFOBCS,51336,82.1878954,Government College of Engineering
"Government College of Engineering, Amravati",IT,DEFOPENS,33941,88.553941,Government College of Engineering
"Government College of Engineering, Amravati",IT,DEFRNT1S,37872,87.1012785,Government College of Engineering
"Government College of Engineering, Amravati",IT,EWS,18299,93.9032684,Government College of Engineering
"Government College of Engineering, Amravati",IT,GNT1S,22548,92.5251996,Government College of Engineering
"Government College of Engineering, Amravati",IT,GNT2S,18106,93.9913601,Government College of Engineering
"Government College of Engineering, Amravati",IT,GNT3S,17692,94.115178,Government College of Engineering
"Government College of Engineering, Amravati",IT,GOBCS,12727,95.8067495,Government College of Engineering
"Government College of Engineering, Amravati",IT,GOPENS,12001,96.0264086,Government College of Engineering
"Government College of Engineering, Amravati",IT,GSCS,22810,92.4262209,Government College of Engineering
"Government College of Engineering, Amravati",IT,GSEBCS,18460,93.871008,Government College of Engineering
"Government College of Engineering, Amravati",IT,GSTS,57428,80.0615027,Government College of Engineering
"Government College of Engineering, Amravati",IT,GVJS,22090,92.6351162,Government College of Engineering
"Government College of Engineering, Amravati",IT,LNT2S,20674,93.1131822,Government College of Engineering
"Government College of Engineering, Amravati",IT,LOBCS,12683,95.8198477,Government College of Engineering
"Government College of Engineering, Amravati",IT,LOPENS,11632,96.1687682,Government College of Engineering
"Government College of Engineering, Amravati",IT,LSCS,22774,92.4273158,Government College of Engineering
"Government College of Engineering, Amravati",IT,LSEBCS,19600,93.4764585,Government College of Engineering
"Government College of Engineering, Amravati",IT,LSTS,62455,78.1496564,Government College of Engineering
"Government College of Engineering, Amravati",IT,ORPHAN,100069,61.6354671,Government College of Engineering
"Government College of Engineering, Amravati",IT,PWDOBCS,109674,57.0470967,Government College of Engineering
"Government College of Engineering, Amravati",IT,PWDOPENS,84120,69.2652564,Government College of Engineering
"Government College of Engineering, Amravati",IT,PWDRSCS,87457,67.6869909,Government College of Engineering
"Government College of Engineering, Amravati",IT,TFWS,9964,96.7229568,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,GNT1S,55013,80.9741447,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,GNT2S,48697,83.1983982,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,GOBCS,49279,82.8860671,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,GOPENS,40780,86.1227045,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,GSCS,76436,72.5041736,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,GSEBCS,98636,62.795808,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,GSTS,153584,27.6622718,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,GVJS,52977,81.7098306,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,LNT3S,48233,83.5013309,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,LOBCS,51737,82.1493863,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,LOPENS,47564,83.639399,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,LSCS,73240,73.7956676,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,LSEBCS,38760,86.8242361,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,LSTS,155962,25.6482713,Government College of Engineering
"Government College of Engineering, Amravati",Instrumentation,TFWS,55129,80.7858869,Government College of Engineering
"Government College of Engineering, Amravati",ME,DEFOBCS,153674,27.6622718,Government College of Engineering
"Government College of Engineering, Amravati",ME,DEFOPENS,115556,53.7694785,Government College of Engineering
"Government College of Engineering, Amravati",ME,DEFROBCS,129935,44.8929536,Government College of Engineering
"Government College of Engineering, Amravati",ME,EWS,75778,72.8176141,Government College of Engineering
"Government College of Engineering, Amravati",ME,GNT1S,59809,79.1318865,Government College of Engineering
"Government College of Engineering, Amravati",ME,GNT2S,47170,83.7440631,Government College of Engineering
"Government College of Engineering, Amravati",ME,GNT3S,53426,81.4941569,Government College of Engineering
"Government College of Engineering, Amravati",ME,GOBCS,40001,86.2308451,Government College of Engineering
"Government College of Engineering, Amravati",ME,GOPENS,37888,87.0844527,Government College of Engineering
"Government College of Engineering, Amravati",ME,GSCS,60509,78.956117,Government College of Engineering
"Government College of Engineering, Amravati",ME,GSEBCS,69475,75.3410409,Government College of Engineering
"Government College of Engineering, Amravati",ME,GSTS,108763,57.2163252,Government College of Engineering
"Government College of Engineering, Amravati",ME,GVJS,56098,80.5896708,Government College of Engineering
"Government College of Engineering, Amravati",ME,LNT1S,58310,79.6526596,Government College of Engineering
"Government College of Engineering, Amravati",ME,LNT2S,56879,80.2743712,Government College of Engineering
"Government College of Engineering, Amravati",ME,LOBCS,51638,82.1493863,Government College of Engineering
"Government College of Engineering, Amravati",ME,LOPENS,41682,85.7455441,Government College of Engineering
"Government College of Engineering, Amravati",ME,LSCS,61041,78.5613347,Government College of Engineering
"Government College of Engineering, Amravati",ME,LSEBCS,55218,80.7858869,Government College of Engineering
"Government College of Engineering, Amravati",ME,LSTS,135907,40.99476,Government College of Engineering
"Government College of Engineering, Amravati",ME,PWDOPENS,111014,56.0103934,Government College of Engineering
"Government College of Engineering, Amravati",ME,TFWS,39326,86.5743889,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,DEFOBCS,99830,61.8908693,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,DEFOPENS,67442,76.1358545,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,DEFROBCS,97953,62.8733646,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,EWS,36830,87.4969245,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GNT1H,51342,82.1878954,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GNT1O,37290,87.3943543,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GNT2O,34071,88.506349,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GNT3H,171363,10.8656299,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GOBCH,45753,84.3179513,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GOBCO,24116,91.9393058,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GOPENH,44488,84.6402007,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GOPENO,23450,92.2260059,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GSCH,54337,81.2084441,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GSCO,37271,87.3943543,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GSEBCH,46863,83.752973,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GSEBCO,39958,86.2308451,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GSTH,87494,67.6869909,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GSTO,67936,76.0337773,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GVJH,74834,73.1237323,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,GVJO,32463,89.0376221,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,LNT2H,79487,71.353144,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,LOBCH,42019,85.5052176,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,LOBCO,23027,92.3221052,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,LOPENH,32415,89.0644285,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,LOPENO,22083,92.6570811,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,LSCH,65221,76.8897938,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,LSTH,76828,72.3242844,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,PWDOBCH,165980,16.2979967,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,PWDOPENH,95051,63.7045846,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,PWDRSCH,101746,60.546705,Government College of Engineering
"Government College of Engineering, Chandrapur",CSE,TFWS,24232,91.9365609,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,GNT1H,114432,54.0859766,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,GNT3O,87925,67.5881106,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,GOBCH,117649,52.2046883,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,GOBCO,77403,72.1239122,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,GOPENH,107227,57.8688386,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,GOPENO,70395,75.0114283,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,GSCH,132208,43.5298862,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,GSCO,73426,73.7956676,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,GSEBCO,117989,52.0861037,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,GSTH,122491,49.7949643,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,GSTO,105975,58.5786927,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,GVJH,126045,47.4576949,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,LNT1O,166590,15.9803473,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,LOBCH,113023,54.7526673,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,LOBCO,72883,73.8486985,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,LOPENH,90182,66.1855163,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,LOPENO,68135,75.8854903,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,LSCH,118929,51.2783205,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,LSCO,75037,73.112247,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,LSTH,104122,60.1291862,Government College of Engineering
"Government College of Engineering, Chandrapur",Civil,PWDOPENH,168151,14.0490445,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,GNT1H,117543,52.2046883,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,GNT2H,98952,62.7875345,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,GNT3O,56172,80.5358903,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,GOBCH,74458,73.4250332,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,GOBCO,41138,85.9711131,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,GOPENH,59496,79.1872032,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,GOPENO,38362,86.889129,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,GSCH,99413,62.7216425,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,GSCO,51841,82.0158422,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,GSEBCO,74811,73.1237323,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,GSTH,141581,36.9291471,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,GSTO,165587,16.6009499,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,GVJH,91750,65.5509182,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,GVJO,69613,75.3410409,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,LOBCH,58327,79.6526596,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,LOBCO,36373,87.5598503,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,LOPENH,49505,82.8590175,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,LOPENO,32933,88.7813022,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,LSCH,86195,68.1767082,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,LSCO,66362,76.5404634,Government College of Engineering
"Government College of Engineering, Chandrapur",ENTC,LSTH,131938,43.5298862,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,GNT2H,112792,55.0733859,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,GNT3H,108956,57.1959853,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,GOBCH,106702,58.1158577,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,GOBCO,63789,77.7152332,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,GOPENH,89793,66.4751458,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,GOPENO,62095,78.1946121,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,GSCH,101953,60.546705,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,GSCO,76494,72.5041736,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,GSEBCH,127193,46.3828235,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,GSEBCO,103528,60.1504384,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,GSTH,107641,57.414259,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,GSTO,151679,29.1560732,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,GVJH,90025,66.4751458,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,LNT1H,130053,44.8929536,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,LNT2O,92082,65.5460439,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,LOBCH,86964,67.8622856,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,LOPENH,78061,71.716606,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,LOPENO,59411,79.3458895,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,LSCH,79751,71.1376941,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,LSCO,69135,75.3516004,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,LSEBCH,165655,16.6009499,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,LSTO,140799,37.6881791,Government College of Engineering
"Government College of Engineering, Chandrapur",Electrical,LVJH,152593,28.3301002,Government College of Engineering
"Government College of Engineering, Chandrapur",Instrumentation,GNT2O,102303,60.5030966,Government College of Engineering
"Government College of Engineering, Chandrapur",Instrumentation,GOBCH,148044,32.0977394,Government College of Engineering
"Government College of Engineering, Chandrapur",Instrumentation,GOBCO,84136,69.2652564,Government College of Engineering
"Government College of Engineering, Chandrapur",Instrumentation,GOPENH,133236,42.725346,Government College of Engineering
"Government College of Engineering, Chandrapur",Instrumentation,GOPENO,73496,73.7743452,Government College of Engineering
"Government College of Engineering, Chandrapur",Instrumentation,GSCH,145079,34.5790896,Government College of Engineering
"Government College of Engineering, Chandrapur",Instrumentation,GSCO,117228,52.5184688,Government College of Engineering
"Government College of Engineering, Chandrapur",Instrumentation,LOBCH,120279,50.9307179,Government College of Engineering
"Government College of Engineering, Chandrapur",Instrumentation,LOPENH,119061,51.2783205,Government College of Engineering
"Government College of Engineering, Chandrapur",Instrumentation,LOPENO,69499,75.3410409,Government College of Engineering
"Government College of Engineering, Chandrapur",Instrumentation,LSCH,138098,39.2350823,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,GNT1H,141413,37.2130338,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,GNT1O,113129,54.7526673,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,GOBCH,146524,33.099972,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,GOBCO,81320,70.5008347,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,GOPENH,109834,57.0470967,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,GOPENO,69540,75.3410409,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,GSCH,135430,41.3261276,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,GSCO,86462,68.0717863,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,GSEBCO,170130,11.9971742,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,GSTH,158301,23.9858471,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,GSTO,146383,33.5585964,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,GVJO,138647,38.8849565,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,LOBCH,148103,32.0977394,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,LOBCO,79430,71.353144,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,LOPENH,130029,44.8929536,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,LOPENO,73291,73.7956676,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,LSCH,155136,26.1271353,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,LSCO,127897,46.3188381,Government College of Engineering
"Government College of Engineering, Chandrapur",ME,LSTH,149882,30.8566205,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,DEFOBCS,31711,89.2835379,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,DEFOPENS,16309,94.589536,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,DEFROBCS,29828,89.9248303,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,EWS,12126,95.9986676,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,GNT2S,9415,96.8881345,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,GNT3S,11228,96.3015293,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,GOBCS,8854,97.0583395,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,GOPENS,7818,97.3975823,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,GSCS,21252,92.9153295,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,GSEBCS,11281,96.2756986,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,GSTS,62060,78.1973837,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,GVJS,9336,96.903172,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,LNT1S,29752,89.9513776,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,LNT2S,17767,94.0927042,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,LOBCS,8518,97.1782833,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,LOPENS,7985,97.3461799,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,LSCS,14984,95.0338694,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,LSEBCS,9017,97.0110164,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,LSTS,73732,73.5848302,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,LVJS,31436,89.3321697,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,ORPHAN,77736,71.7682877,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,PWDOBCS,69533,75.3410409,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,PWDOPENS,22603,92.4300828,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,PWDROBC,44871,84.5731157,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",CSE,TFWS,4077,98.5949295,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,DEFOPENS,59744,79.1318865,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,DEFROBCS,103624,60.1504384,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,EWS,48201,83.5013309,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,GNT1S,66786,76.3630319,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,GNT2S,43473,85.1704164,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,GOBCS,41161,85.9711131,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,GOPENS,33818,88.5551879,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,GSCS,55366,80.7840564,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,GSEBCS,43038,85.2662319,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,GSTS,95844,63.5258359,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,GVJS,46848,83.752973,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,LNT3S,64095,77.6411427,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,LOBCS,48807,83.1469549,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,LOPENS,34971,88.1366358,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,LSCS,58190,79.7465759,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,LSEBCS,59847,79.1318865,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,LSTS,95018,63.9612515,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,PWDOBCS,125801,47.4576949,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,PWDOPENS,89771,66.4751458,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,PWDRSEBC,134176,42.2207447,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",Civil,TFWS,32157,89.1373005,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",ENTC,DEFOBCS,77721,71.7682877,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",ENTC,DEFOPENS,24036,91.9723529,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",ENTC,DEFROBCS,58973,79.4895283,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",ENTC,EWS,19237,93.6359026,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",ENTC,GNT1S,22273,92.5961339,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",ENTC,GNT2S,20245,93.2547779,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",ENTC,GOBCS,17821,94.0878795,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",ENTC,GOPENS,15823,94.7726504,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",ENTC,GSCS,33669,88.6037289,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",ENTC,GSEBCS,20411,93.2139295,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",ENTC,GSTS,101665,60.596742,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",ENTC,GVJS,24159,91.9393058,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",ENTC,LNT2S,19331,93.5406895,Government College of Engineering
"Government College of Engineering, Chhatrapati Sambhajinagar",ENTC,LNT3S,30539,89.7106951,Government College of Engineering
